,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
794.0,455.0,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
796.0,455.0,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
797.0,455.0,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
18577.0,9829.0,David Sagitovich Belyavsky,M,24.0,165.0,55.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
18579.0,9829.0,David Sagitovich Belyavsky,M,24.0,165.0,55.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
53763.0,27572.0,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
89224.0,45219.0,Fabian Hambchen,M,28.0,164.0,62.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
101753.0,51457.0,Diego Matias Hyplito,M,30.0,170.0,68.0,Brazil,BRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Silver
114515.0,57997.0,Ryohei Kato,M,22.0,162.0,54.0,Japan,JPN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
128700.0,64787.0,Nikolay Yulyevich Kuksenkov,M,27.0,172.0,65.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
137853.0,69285.0,Danell Johan Leyva Gonzalez,M,24.0,170.0,68.0,United States,USA,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Silver
137854.0,69285.0,Danell Johan Leyva Gonzalez,M,24.0,170.0,68.0,United States,USA,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
139275.0,69955.0,Lin Chaopan,M,20.0,163.0,60.0,China,CHN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
140788.0,70677.0,Liu Yang,M,21.0,162.0,61.0,China,CHN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
149540.0,75010.0,Arthur Nory Oyakawa Mariano,M,22.0,169.0,65.0,Brazil,BRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
167240.0,84014.0,"Alexander Michael ""Alex"" Naddour",M,25.0,170.0,70.0,United States,USA,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
167469.0,84138.0,Nikita Vladimirovich Nagorny,M,19.0,166.0,67.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
187216.0,94094.0,Eleftherios Petrounias,M,25.0,164.0,62.0,Greece,GRE,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Gold
199788.0,100351.0,Ri Se-Gwang,M,31.0,155.0,54.0,North Korea,PRK,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Gold
218755.0,109869.0,Kenzo Shirai,M,19.0,162.0,51.0,Japan,JPN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
218757.0,109869.0,Kenzo Shirai,M,19.0,162.0,51.0,Japan,JPN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Bronze
223676.0,112342.0,Louis Antoine Smith,M,27.0,184.0,76.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
230629.0,115758.0,Ivan Alekseyevich Stretovich,M,19.0,170.0,59.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
236062.0,118359.0,Yusuke Tanaka,M,26.0,166.0,58.0,Japan,JPN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
245736.0,123056.0,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Gold
245737.0,123056.0,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
251779.0,126096.0,Oleh Yuriyovych Verniaiev,M,22.0,161.0,55.0,Ukraine,UKR,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Silver
251783.0,126096.0,Oleh Yuriyovych Verniaiev,M,22.0,161.0,55.0,Ukraine,UKR,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Gold
259829.0,130071.0,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
259831.0,130071.0,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Gold
259835.0,130071.0,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
261563.0,130874.0,Nile Wilson,M,20.0,166.0,60.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
264454.0,132340.0,Koji Yamamuro,M,27.0,159.0,58.0,Japan,JPN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
266171.0,133174.0,You Hao,M,24.0,162.0,60.0,China,CHN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
267709.0,133931.0,Arthur Nabarrete Zanetti,M,26.0,156.0,61.0,Brazil,BRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Silver
268713.0,134433.0,Zhang Chenglong,M,27.0,173.0,65.0,China,CHN,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
